id,full_name,full_name_kana,sex,tel,fax,mobile,email,zip,prefecture,city,house_number,birthday,hometown,blood,religion,role_courtship,role_matchmaker,matchmaker_id
2,上岡 保之,カミオカ ヤスユキ,男,572590801,,9028891891,yasuyuki68085@fpyuvlwlgk.yb,501-6265,岐阜県,羽島市,小熊町川口前43510,1964/5/22,山梨県,O,christ,FALSE,TRUE,
3,大石 忠良,オオイシ タダヨシ,男,779173940,,9057449504,tadayoshi9433@vltzywpra.lqykq.vzn,910-3623,福井県,福井市,島寺町4-15-5,1988/5/23,神奈川県,O,christ,FALSE,TRUE,
4,竹内 徹子,タケウチ テツコ,女,385959419,385959420,9040812254,otakeuchi@cpcoxbws.afqi.vzu,162-0855,東京都,新宿区,二十騎町43531,1969/4/11,東京都,O,christ,FALSE,TRUE,
5,西脇 晴子,ニシワキ ハルコ,女,976473741,,8023765233,haruko_nishiwaki@nurbvjnhp.rb,875-0051,大分県,臼杵市,戸室37081,1990/7/12,岡山県,O,christ,FALSE,TRUE,
6,池内 嶺,イケウチ リョウ,男,191207224,,8068048514,z=mefdxgqairyou30649@jrpbrzk.evimy.qyc,028-7552,岩手県,八幡平市,安代寄木37580,1991/1/22,秋田県,A,christ,FALSE,TRUE,
7,川島 志保,カワシマ シホ,女,766484222,,8084062281,shihokawashima@bdxu.ghb,939-2632,富山県,富山市,婦中町吉住43477,1973/8/20,秋田県,O,christ,FALSE,TRUE,
8,中澤 華音,ナカザワ カノン,女,575348507,,9046156826,kanon0880@opyczjbt.oy,501-5627,岐阜県,大野郡白川村,荻町4-19-9,1999/7/19,栃木県,A,christ,FALSE,TRUE,
9,笹森 美樹,ササモリ ミキ,女,825800696,,9048702713,miki087@leldww.ni,729-3106,広島県,福山市,新市町上安井43535,1997/9/7,愛媛県,O,christ,FALSE,TRUE,
10,明石 智恵,アカイシ チエ,女,79849335,,8047507554,chie21723@oifxzrfb.tcxad.ya,668-0084,兵庫県,豊岡市,福田37629,1963/11/11,新潟県,AB,christ,FALSE,TRUE,
11,大城 百恵,オオシロ モモエ,女,857869440,,8065283532,vljrvzemomoe399@kmmt.zh,682-0023,鳥取県,倉吉市,山根37656,1980/2/8,千葉県,O,christ,TRUE,FALSE,5
12,楠 華蓮,クスノキ カレン,女,764946399,,8032602251,Karen_Kusunoki@btxzmiwl.nl,924-0042,石川県,白山市,東柏町37111,1978/7/13,静岡県,O,christ,TRUE,FALSE,6
13,福山 清花,フクヤマ サヤカ,女,93297327,,9082256708,sayaka5508@idtuyrqrna.vc,814-0162,福岡県,福岡市早良区,星の原団地43567,1969/6/8,宮城県,O,christ,TRUE,FALSE,7
14,大村 十郎,オオムラ ジュウロウ,男,79171581,79171581,8087829201,juurou_oomura@ozatb.pawy.qx,675-2401,兵庫県,加西市,国正町1-14-18,1991/8/12,岩手県,A,christ,TRUE,FALSE,5
15,長瀬 遥,ナガセ ハルカ,女,280680033,,9027716367,haruka045@dxjyabedy.fhy,321-3304,栃木県,芳賀郡芳賀町,祖母井1-19-9,1979/2/28,長野県,O,christ,TRUE,FALSE,6
16,黒木 由香里,クロキ ユカリ,女,742090162,,8018175351,yukarikuroki@fifnk.zp,630-2164,奈良県,奈良市,南田原町4-17-5,1975/4/14,熊本県,A,christ,TRUE,FALSE,4
17,菊地 照子,キクチ テルコ,女,930144001,,8018475234,terukokikuchi@neiecoob.cjs,810-0802,福岡県,福岡市博多区,中洲中島町43536,1997/10/15,鳥取県,A,christ,TRUE,FALSE,2
18,島津 真子,シマヅ マコ,女,767205999,,9035682329,mako37040@qxsipdzcyb.ojw,920-0356,石川県,金沢市,専光寺町43557,1983/6/8,新潟県,AB,christ,TRUE,FALSE,6
19,河原 梨子,カワハラ リコ,女,972704397,,8040790264,Riko_Kawahara@gkjekud.ypg,876-2121,大分県,佐伯市,木立43504,1973/4/1,岡山県,A,christ,TRUE,FALSE,2
20,松原 豊子,マツバラ トヨコ,女,995858335,995858336,8063138811,toyoko26572@ysfb.idl,893-2401,鹿児島県,肝属郡錦江町,田代麓4-15-18,1960/7/8,新潟県,A,christ,TRUE,FALSE,5
21,持田 達,モチダ トオル,男,748608685,,9079966876,tooru44999@aikfivagot.gw,527-0206,滋賀県,東近江市,杠葉尾町43538,1983/5/6,大分県,O,christ,TRUE,FALSE,5
22,首藤 歩実,シュドウ アユミ,女,924160319,,9064797449,ayumi_shudou@vbcqdgalpf.tjp,836-0813,福岡県,大牟田市,平原町37104,1979/9/6,東京都,A,christ,TRUE,FALSE,5
23,高原 嘉男,タカハラ ヨシオ,男,84747560,,8028037750,yoshio62535@kbjo.dsc,729-1333,広島県,三原市,大和町下草井43501,1963/11/10,栃木県,O,christ,TRUE,FALSE,4
24,平塚 萌花,ヒラツカ モエカ,女,934154667,,9077339005,moeka638@thpfmncew.fde,824-0003,福岡県,行橋市,大橋37290,1972/6/23,大分県,O,christ,TRUE,FALSE,7
25,古屋 恒敏,フルヤ ツネトシ,男,456801328,,8040403202,tsunetoshi8014@odempn.zf,243-0034,神奈川県,厚木市,船子37851,1992/2/25,埼玉県,A,christ,TRUE,FALSE,3
26,池上 辰男,イケガミ タツオ,男,954809412,,8089567438,tatsuo86270@qerm.fc,857-4411,長崎県,南松浦郡新上五島町,相河郷36942,1989/6/5,長野県,B,christ,TRUE,FALSE,6
27,大槻 秀之,オオツキ ヒデユキ,男,85830527,,9066973384,iootsuki@bvmjyjdnyh.du.lrh,680-1444,鳥取県,鳥取市,松原37784,1975/3/11,滋賀県,O,christ,TRUE,FALSE,5
28,小野田 楓花,オノダ フウカ,女,954138188,,8047048362,Fuuka_Onoda@lxmm.xkg.amd,848-0116,佐賀県,伊万里市,波多津町井野尾43485,1964/5/24,沖縄県,A,christ,TRUE,FALSE,5
29,上岡 陽華,カミオカ ハルカ,女,871551519,,9089714639,akamioka@xtluo.uzk,765-0001,香川県,善通寺市,仙遊町37809,1991/12/19,群馬県,A,christ,TRUE,FALSE,5
30,高津 美里,タカツ ミサト,女,294859691,,8072611046,misato_takatsu@ktcjlh.kb,301-0847,茨城県,龍ケ崎市,城ノ内37641,1996/7/5,宮崎県,A,christ,TRUE,FALSE,4
31,沼田 衛,ヌマタ マモル,男,749568701,,8045363301,qf-fwqmtalqmamoru494@bvxn.ups,520-2572,滋賀県,蒲生郡竜王町,西川37390,1984/2/1,福岡県,O,christ,TRUE,FALSE,5
32,西野 雅紹,ニシノ マサツグ,男,184508729,,8033852154,masatsugunishino@uzbh.lmx,013-0446,秋田県,横手市,大雄乗阿気37238,1975/1/13,福井県,O,christ,TRUE,FALSE,5
33,新谷 愛香,アラヤ アイカ,女,952244653,,9084576772,aika8570@kbhdaokjwe.qetg.jf,847-1507,佐賀県,唐津市,肥前町満越3-14-6,1984/4/11,奈良県,O,christ,TRUE,FALSE,5
34,増田 花凛,マスダ カリン,女,295317580,,9054305160,pidibgzkarin7708@xrafglhq.qbs,306-0432,茨城県,猿島郡境町,下小橋43571,1980/7/10,新潟県,A,christ,TRUE,FALSE,5
35,冨田 宏江,トミタ ヒロエ,女,622647104,622647104,8080815392,hiroe978@wpefypbdlr.zjm,563-0052,大阪府,池田市,城山町43472,1962/8/29,富山県,A,christ,TRUE,FALSE,7
36,橋爪 羽奈,ハシヅメ ハナ,女,162500421,162500421,8031646856,ahashizume@etduq.ay,068-3186,北海道,岩見沢市,清水町43534,1973/4/23,富山県,O,christ,TRUE,FALSE,3
37,小久保 崇,コクボ タカシ,男,733837242,,8050811299,takashi74574@ntavzecq.sh,640-8124,和歌山県,和歌山市,雄松町38204,1961/9/27,鹿児島県,A,christ,TRUE,FALSE,5
38,内村 紗季,ウチムラ サキ,女,227140677,,9067441563,Saki_Uchimura@ncguhw.bl,989-5334,宮城県,栗原市,栗駒嶺崎2-17-7,1969/3/27,長崎県,O,buddhism,TRUE,FALSE,6
39,馬場 潔,ババ キヨシ,男,365154456,,9020009051,ibaba@qfqkkees.btw,136-0074,東京都,江東区,東砂3-20-4,1983/9/11,奈良県,AB,buddhism,TRUE,FALSE,7
40,香坂 瑞穂,コウサカ ミズホ,女,597744039,,9067537474,mizuho113@bmudphq.zm,515-0315,三重県,多気郡明和町,蓑村37565,1998/5/28,神奈川県,A,buddhism,TRUE,FALSE,4
41,滝沢 善雄,タキザワ ヨシオ,男,277896089,277896090,9083402087,yoshio719@bxuejbo.uqa,377-1525,群馬県,吾妻郡嬬恋村,西窪2-17-9,1987/10/25,山梨県,A,buddhism,TRUE,FALSE,6
42,堀田 正洋,ホッタ マサヒロ,男,832314214,,8095431943,ohotta@ljkqkpuz.bl.iz,754-1312,山口県,宇部市,棯小野43560,1970/9/13,福島県,B,buddhism,TRUE,FALSE,8
43,碓井 拓海,ウスイ タクミ,男,969024370,,9055817585,takumiusui@kijshan.bcu,868-0603,熊本県,球磨郡湯前町,古城3-18-9,1996/6/25,福島県,O,buddhism,TRUE,FALSE,1
44,角田 寿,カクタ ヒサシ,男,449704575,,8062698197,hisashi763@pqjhwcre.sda,220-0044,神奈川県,横浜市西区,紅葉ケ丘2-14-4,1986/10/20,岐阜県,A,buddhism,TRUE,FALSE,2
45,鈴木 幸治,スズキ コウジ,男,896372727,,9030398833,kouji6457@dtjvkxq.kb,798-0081,愛媛県,宇和島市,中沢町37624,1971/2/7,青森県,A,buddhism,TRUE,FALSE,8
46,神谷 亨,カミヤ トオル,男,648196172,,9030144883,tooru46245@iyrsohbyqb.yom,590-0054,大阪府,堺市堺区,京町通37561,1991/9/21,群馬県,A,buddhism,TRUE,FALSE,5
47,黒岩 寿,クロイワ ヒサシ,男,185918082,,8070886278,Hisashi_Kuroiwa@izrd.tal,014-0064,秋田県,大仙市,小貫高畑4-14-12,1989/5/9,山形県,A,buddhism,TRUE,FALSE,4
